,lon,lat,date,rain
1,21.25,-28.75,01.01.79,0.721512556
2,23.75,-28.75,01.01.79,1.665643692
3,21.25,-26.25,01.01.79,1.949180245
4,23.75,-26.25,01.01.79,2.273739576
5,21.25,-28.75,02.01.79,0.639126658
6,23.75,-28.75,02.01.79,2.199012756
7,21.25,-26.25,02.01.79,2.006285906
8,23.75,-26.25,02.01.79,2.388442755
9,21.25,-28.75,03.01.79,0.04361194
10,23.75,-28.75,03.01.79,0.564516604
11,21.25,-26.25,03.01.79,0.10593044
12,23.75,-26.25,03.01.79,0.289728612
13,21.25,-28.75,04.01.79,0.654210806
14,23.75,-28.75,04.01.79,1.179534435
15,21.25,-26.25,04.01.79,1.36341393
16,23.75,-26.25,04.01.79,0.909253478
17,21.25,-28.75,05.01.79,0.672041476
18,23.75,-28.75,05.01.79,0.915874898
19,21.25,-26.25,05.01.79,0.626102388
20,23.75,-26.25,05.01.79,0.405656844
21,21.25,-28.75,06.01.79,0.083119735
22,23.75,-28.75,06.01.79,0.065386258
23,21.25,-26.25,06.01.79,0.018550491
24,23.75,-26.25,06.01.79,0.080613777
25,21.25,-28.75,07.01.79,0.441528827
26,23.75,-28.75,07.01.79,0.395899117
27,21.25,-26.25,07.01.79,0.225766718
28,23.75,-26.25,07.01.79,0.05303286
29,21.25,-28.75,08.01.79,0.679496109
30,23.75,-28.75,08.01.79,1.596016049
31,21.25,-26.25,08.01.79,0.445128441
32,23.75,-26.25,08.01.79,1.555186749
33,21.25,-28.75,09.01.79,0.03427738
34,23.75,-28.75,09.01.79,0.060139202
35,21.25,-26.25,09.01.79,0.066836938
36,23.75,-26.25,09.01.79,0.08674901
37,21.25,-28.75,10.01.79,0.518401504
38,23.75,-28.75,10.01.79,1.293747902
39,21.25,-26.25,10.01.79,0.942531466
40,23.75,-26.25,10.01.79,1.486564159
41,21.25,-28.75,11.01.79,0.401714891
42,23.75,-28.75,11.01.79,1.38150692
43,21.25,-26.25,11.01.79,1.009809256
44,23.75,-26.25,11.01.79,2.097892761
45,21.25,-28.75,12.01.79,0.148322284
46,23.75,-28.75,12.01.79,0.697592437
47,21.25,-26.25,12.01.79,0.705316067
48,23.75,-26.25,12.01.79,1.107053041
49,21.25,-28.75,01.01.80,0.082933672
50,23.75,-28.75,01.01.80,0.702216506
51,21.25,-26.25,01.01.80,0.346732169
52,23.75,-26.25,01.01.80,1.237325668
53,21.25,-28.75,02.01.80,1.316609502
54,23.75,-28.75,02.01.80,3.169960737
55,21.25,-26.25,02.01.80,2.373725891
56,23.75,-26.25,02.01.80,2.60286665
57,21.25,-28.75,03.01.80,1.729127049
58,23.75,-28.75,03.01.80,2.147140503
59,21.25,-26.25,03.01.80,1.052032471
60,23.75,-26.25,03.01.80,1.179569125
61,21.25,-28.75,04.01.80,0.191996753
62,23.75,-28.75,04.01.80,0.46632266
63,21.25,-26.25,04.01.80,0.247599632
64,23.75,-26.25,04.01.80,0.530142963
65,21.25,-28.75,05.01.80,0.011211865
66,23.75,-28.75,05.01.80,0.01013069
67,21.25,-26.25,05.01.80,0.013862802
68,23.75,-26.25,05.01.80,0.009659981
69,21.25,-28.75,06.01.80,0.063060775
70,23.75,-28.75,06.01.80,0.019479875
71,21.25,-26.25,06.01.80,0.011613791
72,23.75,-26.25,06.01.80,0.005128822
73,21.25,-28.75,07.01.80,0.004499125
74,23.75,-28.75,07.01.80,0.008216331
75,21.25,-26.25,07.01.80,0.006952094
76,23.75,-26.25,07.01.80,0.004745801
77,21.25,-28.75,08.01.80,0.566260695
78,23.75,-28.75,08.01.80,0.652261615
79,21.25,-26.25,08.01.80,0.175947443
80,23.75,-26.25,08.01.80,0.114120066
81,21.25,-28.75,09.01.80,0.751552939
82,23.75,-28.75,09.01.80,1.088649154
83,21.25,-26.25,09.01.80,0.356415033
84,23.75,-26.25,09.01.80,0.95083648
85,21.25,-28.75,10.01.80,0.06589856
86,23.75,-28.75,10.01.80,0.021052049
87,21.25,-26.25,10.01.80,0.036187932
88,23.75,-26.25,10.01.80,0.050771959
89,21.25,-28.75,11.01.80,0.593710303
90,23.75,-28.75,11.01.80,2.099219322
91,21.25,-26.25,11.01.80,0.692531466
92,23.75,-26.25,11.01.80,2.94963336
93,21.25,-28.75,12.01.80,0.521719635
94,23.75,-28.75,12.01.80,1.036499858
95,21.25,-26.25,12.01.80,0.653950393
96,23.75,-26.25,12.01.80,1.850964785
97,21.25,-28.75,01.01.81,0.20897615
98,23.75,-28.75,01.01.81,2.343178511
99,21.25,-26.25,01.01.81,0.629798591
100,23.75,-26.25,01.01.81,3.722582102
101,21.25,-28.75,02.01.81,1.85599494
102,23.75,-28.75,02.01.81,3.52575326
103,21.25,-26.25,02.01.81,2.742215395
104,23.75,-26.25,02.01.81,3.024230242
105,21.25,-28.75,03.01.81,0.94471705
106,23.75,-28.75,03.01.81,1.550099015
107,21.25,-26.25,03.01.81,1.242501736
108,23.75,-26.25,03.01.81,2.399119139
109,21.25,-28.75,04.01.81,0.104986668
110,23.75,-28.75,04.01.81,0.53249228
111,21.25,-26.25,04.01.81,0.19522278
112,23.75,-26.25,04.01.81,0.223774627
113,21.25,-28.75,05.01.81,0.152221426
114,23.75,-28.75,05.01.81,0.257904291
115,21.25,-26.25,05.01.81,0.024882577
116,23.75,-26.25,05.01.81,0.015535549
117,21.25,-28.75,06.01.81,0.058873542
118,23.75,-28.75,06.01.81,0.192228153
119,21.25,-26.25,06.01.81,0.020823684
120,23.75,-26.25,06.01.81,0.201912194
121,21.25,-28.75,07.01.81,0.011203406
122,23.75,-28.75,07.01.81,0.004038593
123,21.25,-26.25,07.01.81,0.034921966
124,23.75,-26.25,07.01.81,0.004037758
125,21.25,-28.75,08.01.81,1.274609566
126,23.75,-28.75,08.01.81,1.754955888
127,21.25,-26.25,08.01.81,0.690631509
128,23.75,-26.25,08.01.81,0.912796021
129,21.25,-28.75,09.01.81,0.027996987
130,23.75,-28.75,09.01.81,0.038629211
131,21.25,-26.25,09.01.81,0
132,23.75,-26.25,09.01.81,0.1482898
133,21.25,-28.75,10.01.81,0.621323466
134,23.75,-28.75,10.01.81,0.984378457
135,21.25,-26.25,10.01.81,0.515009582
136,23.75,-26.25,10.01.81,0.554221034
137,21.25,-28.75,11.01.81,0.46058169
138,23.75,-28.75,11.01.81,1.504715085
139,21.25,-26.25,11.01.81,0.971605897
140,23.75,-26.25,11.01.81,1.990478039
141,21.25,-28.75,12.01.81,0.32086876
142,23.75,-28.75,12.01.81,2.280053139
143,21.25,-26.25,12.01.81,0.804472268
144,23.75,-26.25,12.01.81,2.269425631
145,21.25,-28.75,01.01.82,0.023594834
146,23.75,-28.75,01.01.82,0.509670198
147,21.25,-26.25,01.01.82,0.638434649
148,23.75,-26.25,01.01.82,0.926782072
149,21.25,-28.75,02.01.82,0.568464816
150,23.75,-28.75,02.01.82,1.573741674
151,21.25,-26.25,02.01.82,0.798610091
