date,rain,month,year,scen
16.12.96,103.8517,12,1996,RCP2.6
16.01.97,196.65121,1,1997,RCP2.6
15.02.97,139.20604,2,1997,RCP2.6
16.03.97,114.36856,3,1997,RCP2.6
16.04.97,78.1222,4,1997,RCP2.6
16.05.97,30.961403,5,1997,RCP2.6
16.06.97,22.111065,6,1997,RCP2.6
16.07.97,5.937467,7,1997,RCP2.6
16.08.97,12.300345,8,1997,RCP2.6
16.09.97,14.456023,9,1997,RCP2.6
16.10.97,53.501938,10,1997,RCP2.6
16.11.97,134.57346,11,1997,RCP2.6
16.12.97,160.96439,12,1997,RCP2.6
16.01.98,123.79678,1,1998,RCP2.6
15.02.98,142.63257,2,1998,RCP2.6
16.03.98,151.19893,3,1998,RCP2.6
16.04.98,93.96886,4,1998,RCP2.6
16.05.98,49.4567,5,1998,RCP2.6
16.06.98,22.451963,6,1998,RCP2.6
16.07.98,18.18804,7,1998,RCP2.6
16.08.98,10.698281,8,1998,RCP2.6
16.09.98,33.282974,9,1998,RCP2.6
16.10.98,71.75702,10,1998,RCP2.6
16.11.98,128.40398,11,1998,RCP2.6
16.12.98,144.84041,12,1998,RCP2.6
16.01.99,133.7092,1,1999,RCP2.6
15.02.99,123.33574,2,1999,RCP2.6
16.03.99,136.42255,3,1999,RCP2.6
16.04.99,88.51333,4,1999,RCP2.6
16.05.99,37.911255,5,1999,RCP2.6
16.06.99,14.975953,6,1999,RCP2.6
16.07.99,10.823157,7,1999,RCP2.6
16.08.99,3.4879942,8,1999,RCP2.6
16.09.99,22.608047,9,1999,RCP2.6
16.10.99,88.26076,10,1999,RCP2.6
16.11.99,103.20834,11,1999,RCP2.6
16.12.99,180.51787,12,1999,RCP2.6
16.01.00,146.75931,1,2000,RCP2.6
15.02.00,159.44952,2,2000,RCP2.6
16.03.00,164.53084,3,2000,RCP2.6
16.04.00,110.23143,4,2000,RCP2.6
16.05.00,71.215675,5,2000,RCP2.6
16.06.00,22.099262,6,2000,RCP2.6
16.07.00,26.704954,7,2000,RCP2.6
16.08.00,17.754513,8,2000,RCP2.6
16.09.00,13.345919,9,2000,RCP2.6
16.10.00,55.492664,10,2000,RCP2.6
16.11.00,120.83732,11,2000,RCP2.6
16.12.00,132.55112,12,2000,RCP2.6
16.01.01,178.0189,1,2001,RCP2.6
15.02.01,122.75288,2,2001,RCP2.6
16.03.01,103.213585,3,2001,RCP2.6
16.04.01,92.25283,4,2001,RCP2.6
16.05.01,90.36536,5,2001,RCP2.6
16.06.01,18.938705,6,2001,RCP2.6
16.07.01,7.2243657,7,2001,RCP2.6
16.08.01,6.2821107,8,2001,RCP2.6
16.09.01,9.166952,9,2001,RCP2.6
16.10.01,65.90998,10,2001,RCP2.6
16.11.01,96.070335,11,2001,RCP2.6
16.12.01,115.81759,12,2001,RCP2.6
16.01.02,183.85632,1,2002,RCP2.6
15.02.02,178.291,2,2002,RCP2.6
16.03.02,137.96564,3,2002,RCP2.6
16.04.02,94.2331,4,2002,RCP2.6
16.05.02,54.943542,5,2002,RCP2.6
16.06.02,36.234627,6,2002,RCP2.6
16.07.02,18.993881,7,2002,RCP2.6
16.08.02,8.830128,8,2002,RCP2.6
16.09.02,14.492753,9,2002,RCP2.6
16.10.02,67.33923,10,2002,RCP2.6
16.11.02,82.76587,11,2002,RCP2.6
16.12.02,142.32979,12,2002,RCP2.6
16.01.03,138.82663,1,2003,RCP2.6
15.02.03,118.907364,2,2003,RCP2.6
16.03.03,123.48183,3,2003,RCP2.6
16.04.03,92.38113,4,2003,RCP2.6
16.05.03,52.22343,5,2003,RCP2.6
16.06.03,28.747849,6,2003,RCP2.6
16.07.03,5.540875,7,2003,RCP2.6
16.08.03,8.27916,8,2003,RCP2.6
16.09.03,5.4872246,9,2003,RCP2.6
16.10.03,67.819595,10,2003,RCP2.6
16.11.03,80.2757,11,2003,RCP2.6
16.12.03,146.10764,12,2003,RCP2.6
16.01.04,130.9668,1,2004,RCP2.6
15.02.04,118.81989,2,2004,RCP2.6
16.03.04,123.99006,3,2004,RCP2.6
16.04.04,98.8025,4,2004,RCP2.6
16.05.04,52.261585,5,2004,RCP2.6
16.06.04,22.01145,6,2004,RCP2.6
16.07.04,14.851712,7,2004,RCP2.6
16.08.04,7.080623,8,2004,RCP2.6
16.09.04,16.509,9,2004,RCP2.6
16.10.04,78.578476,10,2004,RCP2.6
16.11.04,108.807106,11,2004,RCP2.6
16.12.04,128.03207,12,2004,RCP2.6
16.01.05,149.4237,1,2005,RCP2.6
15.02.05,104.59247,2,2005,RCP2.6
16.03.05,115.627304,3,2005,RCP2.6
16.04.05,80.208664,4,2005,RCP2.6
16.05.05,78.29826,5,2005,RCP2.6
16.06.05,34.00898,6,2005,RCP2.6
16.07.05,7.993705,7,2005,RCP2.6
16.08.05,10.466803,8,2005,RCP2.6
16.09.05,19.781647,9,2005,RCP2.6
16.10.05,64.41189,10,2005,RCP2.6
16.11.05,67.63996,11,2005,RCP2.6
16.12.05,110.14507,12,2005,RCP2.6
16.01.06,138.32152,1,2006,RCP2.6
15.02.06,165.71785,2,2006,RCP2.6
16.03.06,120.00545,3,2006,RCP2.6
16.04.06,73.29886,4,2006,RCP2.6
16.05.06,57.820107,5,2006,RCP2.6
16.06.06,19.746529,6,2006,RCP2.6
16.07.06,11.3971615,7,2006,RCP2.6
16.08.06,11.418488,8,2006,RCP2.6
16.09.06,19.047964,9,2006,RCP2.6
16.10.06,53.202133,10,2006,RCP2.6
16.11.06,96.24127,11,2006,RCP2.6
16.12.06,116.08799,12,2006,RCP2.6
16.01.07,116.883255,1,2007,RCP2.6
15.02.07,193.33603,2,2007,RCP2.6
16.03.07,105.093056,3,2007,RCP2.6
16.04.07,83.10867,4,2007,RCP2.6
16.05.07,66.35044,5,2007,RCP2.6
16.06.07,20.879406,6,2007,RCP2.6
16.07.07,6.4433045,7,2007,RCP2.6
16.08.07,3.995367,8,2007,RCP2.6
16.09.07,15.732094,9,2007,RCP2.6
16.10.07,64.912994,10,2007,RCP2.6
16.11.07,85.04186,11,2007,RCP2.6
16.12.07,143.75848,12,2007,RCP2.6
16.01.08,158.87933,1,2008,RCP2.6
15.02.08,98.982216,2,2008,RCP2.6
16.03.08,111.7281,3,2008,RCP2.6
16.04.08,98.28462,4,2008,RCP2.6
16.05.08,29.890696,5,2008,RCP2.6
16.06.08,12.665775,6,2008,RCP2.6
